1d,7d
41665.2248,40519.9723
42654.3193,41573.129
43006.3907,42414.5447
44857.0177,44151.5474
45913.9557,44927.8401
46406.5114,46411.5199
46962.2829,46648.548
47126.8971,46833.3944
46989.3424,46194.1998
47071.0136,46152.5598
47367.9363,46776.7673
47080.4642,46553.687
47280.6836,46707.349
47251.2634,45965.3561
44823.8411,43644.4045
43267.9466,42156.4403
43186.7367,41726.8861
41586.6637,40426.6213
41441.9183,40247.9236
40860.9078,40608.6817
40242.8571,39289.5986
39782.2217,39596.7526
40150.6308,39360.3511
40101.098,39410.6998
41098.0591,40104.509
42150.2299,40842.2411
43243.4436,41962.1149
44124.5117,42205.0653
44679.7372,43462.506
46131.5067,44896.184
46068.1115,45473.5373
46820.3263,45881.6978
47326.0443,46043.409
46959.0033,46196.884
47371.152,46486.5784
47567.6991,46610.2259
47953.6263,46836.0743
48058.1358,46891.6337
45932.5868,46474.4858
45232.1145,45999.4882
43741.3756,45275.4259
42376.8876,45284.232
42722.3479,43202.8874
42596.2942,41948.5652
42294.7392,42154.5263
41966.6968,41758.0223
42165.3956,41066.4502
42182.3643,40789.6192
41821.1745,40456.9303
43575.8377,40780.983
44602.3034,41455.0618
45043.4253,42276.5449
45960.4227,43217.2789
47467.7314,44346.368
48293.8007,45343.5803
48498.8126,45360.8773
48594.0275,45406.4553
48877.894,45714.8724
49398.5974,45893.9595
49401.2752,46077.6202
49776.1461,45956.3262
49673.3448,45986.5477
49855.0898,46067.0459
49179.4529,45514.7617
48729.2521,45593.7857
48654.8637,45413.5072
47165.5896,45690.3579
45796.7786,45024.8393
45081.9835,44008.5865
45164.6534,43358.7057
45102.1311,42910.526
44113.3254,43058.4161
44961.3388,43715.4437
45088.219,44166.2116
46297.0365,44440.0732
46751.859,45145.0191
47261.9687,45780.2295
47338.7179,47063.8276
48083.9542,47624.4334
48344.068,47477.7608
48382.8773,47356.0664
48531.6801,47449.2047
48903.7631,47715.7001
48852.7093,47845.1175
49158.8372,47818.6406
48991.1579,48032.9246
49226.0339,45152.4765
49386.4319,43226.4605
49224.5359,42236.671
48220.8442,41375.0924
47699.4913,40912.5685
46686.3256,40088.7038
46583.8404,40471.4906
46033.2406,39808.2376
45792.975,39752.015
45673.4385,40559.8801
46544.2201,41260.1601
47228.7083,42134.7238
47995.8296,43384.9226
48855.1814,44662.4208
49044.0452,45542.57
49054.2954,46573.2623
49456.6294,46930.141
49479.4266,46997.3777
49353.0137,46939.4629
49545.7792,47182.6315
49771.8941,47368.2774
49895.0108,47177.114
49913.0474,47634.9301
50005.8624,47848.5172
47367.3111,45003.161
45810.6576,43694.5583
45257.6753,43346.6903
43978.5027,41521.8093
44078.5769,41544.4429
43716.5758,40762.6401
42921.8453,39427.8581
42148.0571,39213.6393
42259.6704,39602.6114
42586.4402,39497.7352
42811.5214,40526.2942
43732.7578,40751.9917
45420.4288,41845.631
46345.7633,43564.2337
48222.7328,45058.6396
48457.8356,46518.112
48891.3083,46914.9958
49011.4144,46977.7567
49203.763,47090.3631
49458.1467,46992.4299
49788.0857,47195.3218
49818.5892,47517.2386
50279.9962,47702.8014
50288.9929,47886.3163
47747.4014,44831.8564
46608.954,43861.8249
45911.9635,44431.119
44739.7738,43058.0773
44539.4013,42256.0437
43777.8943,41790.9426
43182.8207,41190.8087
42998.0212,40303.2519
43145.3782,40938.5599
42743.6364,41482.6974
43602.3773,41665.2248
44217.8911,42654.3193
45520.96,43006.3907
46727.3244,44857.0177
48017.4339,45913.9557
48311.5117,46406.5114
48673.0793,46962.2829
48795.25,47126.8971
49086.9065,46989.3424
49021.9699,47071.0136
49210.9543,47367.9363
48804.1991,47080.4642
49388.3027,47280.6836
49476.1402,47251.2634
46871.8603,44823.8411
45903.9497,43267.9466
44910.6077,43186.7367
44176.3204,41586.6637
43874.571,41441.9183
42445.5058,40860.9078
42042.9897,40242.8571
41629.8581,39782.2217
41994.9604,40150.6308
42384.8139,40101.098
43014.1269,41098.0591
44357.2676,42150.2299
45587.8672,43243.4436
46481.8617,44124.5117
47694.9096,44679.7372
48225.3069,46131.5067
48480.0756,46068.1115
48691.2718,46820.3263
48836.7618,47326.0443
48999.7458,46959.0033
49434.1657,47371.152
49058.8222,47567.6991
49041.0716,47953.6263
49120.2223,48058.1358
46522.1672,45932.5868
45666.1854,45232.1145
44559.3574,43741.3756
43419.3497,42376.8876
43068.351,42722.3479
43279.8279,42596.2942
42736.6068,42294.7392
41257.8396,41966.6968
41583.1412,42165.3956
42264.0334,42182.3643
42877.305,41821.1745
44110.8273,43575.8377
44965.9314,44602.3034
46654.4289,45043.4253
47896.9044,45960.4227
47576.4816,47467.7314
48312.5225,48293.8007
48449.6203,48498.8126
48494.9168,48594.0275
48803.7467,48877.894
48721.7953,49398.5974
48783.0367,49401.2752
49133.5683,49776.1461
48955.2292,49673.3448
46649.3656,49855.0898
45308.3009,49179.4529
45045.8825,48729.2521
44212.1021,48654.8637
43981.7058,47165.5896
43977.5821,45796.7786
43642.6928,45081.9835
43798.0748,45164.6534
43881.1966,45102.1311
43778.3816,44113.3254
43930.6627,44961.3388
44666.5593,45088.219
45886.5308,46297.0365
46422.422,46751.859
48037.0177,47261.9687
47276.5923,47338.7179
48298.8012,48083.9542
48264.4606,48344.068
48415.9226,48382.8773
48757.6532,48531.6801
48705.7127,48903.7631
48731.8154,48852.7093
48812.5992,49158.8372
48704.0548,48991.1579
48558.9936,49226.0339
48520.0685,49386.4319
48208.1644,49224.5359
47401.6048,48220.8442
45968.3497,47699.4913
45599.3081,46686.3256
45121.413,46583.8404
45424.639,46033.2406
44673.7013,45792.975
44298.5458,45673.4385
44536.8409,46544.2201
45127.1746,47228.7083
45287.6697,47995.8296
46492.7081,48855.1814
46792.777,49044.0452
46495.4494,49054.2954
47399.0967,49456.6294
47231.4592,49479.4266
47422.7713,49353.0137
47489.3674,49545.7792
47749.102,49771.8941
48093.796,49895.0108
47772.0521,49913.0474
47972.4923,50005.8624
48140.3608,47367.3111
47667.6502,45810.6576
47722.4696,45257.6753
47238.7522,43978.5027
47144.8102,44078.5769
47180.3058,43716.5758
45812.1857,42921.8453
45499.5993,42148.0571
45387.4699,42259.6704
45650.373,42586.4402
45522.7508,42811.5214
46677.0873,43732.7578
47545.8988,45420.4288
48379.4192,46345.7633
48877.1944,48222.7328
48465.7117,48457.8356
49053.9668,48891.3083
49100.7727,49011.4144
48964.2208,49203.763
49102.7285,49458.1467
48923.8087,49788.0857
49139.3509,49818.5892
49425.9665,50279.9962
49349.5627,50288.9929
47162.1729,47747.4014
46379.6979,46608.954
45445.3043,45911.9635
44799.6116,44739.7738
44552.5988,44539.4013
43982.0794,43777.8943
43719.2862,43182.8207
43088.098,42998.0212
44369.5503,43145.3782
43473.0956,42743.6364
44346.2323,43602.3773
44777.8836,44217.8911
46138.225,45520.96
47046.2191,46727.3244
48450.4466,48017.4339
48670.0087,48311.5117
48850.1513,48673.0793
48891.8935,48795.25
49177.4859,49086.9065
49317.3734,49021.9699
48129.1089,49210.9543
48413.7007,48804.1991
48408.8817,49388.3027
48932.9364,49476.1402
46878.4189,46871.8603
45521.9164,45903.9497
44944.2065,44910.6077
44160.0298,44176.3204
44447.8258,43874.571
43655.9545,42445.5058
43315.1699,42042.9897
43233.7746,41629.8581
44059.4586,41994.9604
43667.0052,42384.8139
43751.0818,43014.1269
44587.6312,44357.2676
45669.4527,45587.8672
47181.61,46481.8617
48132.1237,47694.9096
47397.145,48225.3069
48283.8086,48480.0756
48164.0655,48691.2718
48437.6334,48836.7618
48560.4958,48999.7458
49052.4022,49434.1657
49196.6232,49058.8222
49729.7222,49041.0716
49373.5582,49120.2223
47305.743,46522.1672
46298.478,45666.1854
45078.0591,44559.3574
44154.3475,43419.3497
43816.3829,43068.351
43889.9387,43279.8279
43110.5488,42736.6068
43398.4159,41257.8396
42678.0484,41583.1412
42683.7133,42264.0334
42676.4563,42877.305
44510.0097,44110.8273
44618.8654,44965.9314
44965.3146,46654.4289
46181.25,47896.9044
46417.1835,47576.4816
46961.054,48312.5225
47115.4083,48449.6203
47467.9484,48494.9168
47540.4708,48803.7467
48169.2525,48721.7953
48016.8917,48783.0367
48035.5314,49133.5683
48534.2131,48955.2292
46145.2062,46649.3656
45265.6797,45308.3009
44429.5734,45045.8825
43489.2208,44212.1021
42956.5532,43981.7058
42307.233,43977.5821
42118.36,43642.6928
42440.444,43798.0748
43016.5152,43881.1966
43172.9454,43778.3816
43081.8457,43930.6627
43518.8288,44666.5593
43912.0573,45886.5308
44381.7299,46422.422
44413.898,48037.0177
42385.3692,47276.5923
42996.6606,48298.8012
42962.0557,48264.4606
42999.509,48415.9226
42905.9993,48757.6532
43351.3776,48705.7127
43086.3257,48731.8154
42932.7242,48812.5992
42743.2836,48704.0548
42215.216,48558.9936
41779.0726,48520.0685
41992.4879,48208.1644
41596.7102,47401.6048
41034.9877,45968.3497
40822.0539,45599.3081
40399.9674,45121.413
40304.1114,45424.639
40162.0373,44673.7013
39903.8286,44298.5458
39377.8909,44536.8409
39455.2359,45127.1746
39641.8553,45287.6697
39904.7504,46492.7081
40335.1232,46792.777
38819.9484,46495.4494
39160.4917,47399.0967
39357.3787,47231.4592
39256.5031,47422.7713
39375.7449,47489.3674
39571.1807,47749.102
39389.851,48093.796
39890.4834,47772.0521
40352.9456,47972.4923
40566.9414,48140.3608
40244.26,47667.6502
39654.3199,47722.4696
40701.3266,47238.7522
40971.3636,47144.8102
40051.2972,47180.3058
39717.9698,45812.1857
40347.9102,45499.5993
39841.0559,45387.4699
39733.8892,45650.373
39774.9728,45522.7508
39559.9364,46677.0873
39964.6629,47545.8988
40661.8251,48379.4192
40519.7486,48877.1944
39135.6296,48465.7117
