,연도,월,요일,노선명,전염병,승하차총승객수
356,2015,3,3,3,0,5517970.0
357,2015,3,3,4,0,5969571.0
358,2015,3,3,5,0,5770080.0
359,2015,3,3,6,0,3375497.0
360,2015,3,3,7,0,7051736.0
361,2015,3,3,8,0,1566894.0
362,2015,3,3,9,0,2490965.0
376,2015,3,4,1,0,2628056.0
377,2015,3,4,2,0,14679607.0
378,2015,3,4,3,0,5200833.0
379,2015,3,4,4,0,5742645.0
380,2015,3,4,5,0,5617458.0
381,2015,3,4,6,0,3257060.0
382,2015,3,4,7,0,6875485.0
383,2015,3,4,8,0,1532043.0
384,2015,3,4,9,0,2352906.0
398,2015,3,5,1,0,2549400.0
399,2015,3,5,2,0,14472850.0
400,2015,3,5,3,0,5095276.0
401,2015,3,5,4,0,5660525.0
402,2015,3,5,5,0,5580767.0
403,2015,3,5,6,0,3249646.0
404,2015,3,5,7,0,6837559.0
405,2015,3,5,8,0,1523304.0
406,2015,3,5,9,0,2329610.0
420,2015,3,6,1,0,3122766.0
421,2015,3,6,2,0,17837337.0
422,2015,3,6,3,0,6313751.0
423,2015,3,6,4,0,6980566.0
424,2015,3,6,5,0,6882096.0
425,2015,3,6,6,0,4046532.0
426,2015,3,6,7,0,8470863.0
427,2015,3,6,8,0,1885121.0
428,2015,3,6,9,0,2897350.0
443,2015,3,7,1,0,3196665.0
444,2015,3,7,2,0,17812626.0
445,2015,3,7,3,0,6331525.0
446,2015,3,7,4,0,6975977.0
447,2015,3,7,5,0,6905821.0
448,2015,3,7,6,0,4004276.0
449,2015,3,7,7,0,8528177.0
450,2015,3,7,8,0,1889920.0
451,2015,3,7,9,0,2923939.0
466,2015,4,1,1,0,1514837.0
467,2015,4,1,2,0,7949005.0
468,2015,4,1,3,0,2940781.0
469,2015,4,1,4,0,3326834.0
470,2015,4,1,5,0,3082228.0
471,2015,4,1,6,0,1766610.0
472,2015,4,1,7,0,3793905.0
473,2015,4,1,8,0,891562.0
474,2015,4,1,9,0,1475042.0
489,2015,4,2,1,0,2392829.0
490,2015,4,2,2,0,11940731.0
491,2015,4,2,3,0,4534748.0
492,2015,4,2,4,0,4975999.0
493,2015,4,2,5,0,4650648.0
494,2015,4,2,6,0,2693120.0
495,2015,4,2,7,0,5494351.0
496,2015,4,2,8,0,1249329.0
497,2015,4,2,9,0,2147165.0
512,2015,4,3,1,0,2783260.0
513,2015,4,3,2,0,15343828.0
514,2015,4,3,3,0,5528971.0
515,2015,4,3,4,0,6014650.0
516,2015,4,3,5,0,5876862.0
517,2015,4,3,6,0,3362873.0
518,2015,4,3,7,0,7018016.0
519,2015,4,3,8,0,1601250.0
520,2015,4,3,9,0,2645789.0
535,2015,4,4,1,0,3233699.0
536,2015,4,4,2,0,18202718.0
537,2015,4,4,3,0,6500891.0
538,2015,4,4,4,0,7212684.0
539,2015,4,4,5,0,7119206.0
540,2015,4,4,6,0,4073424.0
541,2015,4,4,7,0,8529966.0
542,2015,4,4,8,0,1932582.0
543,2015,4,4,9,0,3054216.0
558,2015,4,5,1,0,3174002.0
559,2015,4,5,2,0,18034721.0
560,2015,4,5,3,0,6404696.0
561,2015,4,5,4,0,7173275.0
562,2015,4,5,5,0,7109971.0
563,2015,4,5,6,0,4094849.0
564,2015,4,5,7,0,8549159.0
565,2015,4,5,8,0,1933878.0
